notification_date,AgeGroup_0-19,AgeGroup_20-24,AgeGroup_25-29,AgeGroup_35-39,AgeGroup_40-44,AgeGroup_45-49,AgeGroup_50-54,AgeGroup_55-59,AgeGroup_70+,AgeGroup_60-64,AgeGroup_30-34,AgeGroup_65-69,AgeGroup_None
2020-04-13,0,1,1,1,0,0,0,1,1,0,1,1,0
2020-04-14,1,1,3,1,2,2,1,0,5,1,3,1,0
2020-04-15,1,0,0,2,1,3,0,1,10,1,2,1,0
2020-04-16,2,2,1,2,2,0,0,0,10,0,2,1,0
2020-04-17,0,1,2,0,0,3,2,2,4,0,0,1,0
2020-04-18,1,2,2,1,0,0,1,2,7,0,1,0,0
2020-04-19,0,0,0,0,1,0,0,1,3,1,1,0,0
2020-04-20,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-04-21,0,0,0,0,1,1,1,0,2,0,0,1,0
2020-04-22,0,0,0,0,1,0,0,0,0,1,1,0,0
2020-04-23,1,1,0,0,0,3,0,0,2,0,0,1,0
2020-04-24,0,0,2,0,0,1,1,0,6,2,0,2,0
2020-04-25,0,1,0,0,0,0,0,1,0,1,0,0,0
2020-04-26,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-04-27,2,0,0,0,0,1,1,0,0,0,1,0,0
2020-04-28,3,2,1,0,1,0,1,1,0,1,0,0,0
2020-04-29,0,1,1,0,0,0,0,0,1,0,0,0,0
2020-04-30,0,1,1,0,3,0,0,1,8,1,0,0,0
2020-05-01,0,0,1,0,0,0,0,0,1,0,0,0,0
2020-05-02,1,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-03,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,1,2,0,0,0,0,0,0,0,1,0,0
2020-05-05,1,0,1,0,0,0,0,0,0,1,1,1,0
2020-05-06,0,0,0,0,1,0,0,0,0,0,2,0,0
2020-05-07,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,1,0,0,2,0,1,0,0
2020-05-09,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-05-10,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-12,0,0,0,0,1,0,1,2,0,1,0,0,0
2020-05-13,2,0,1,1,0,0,0,0,0,0,0,0,0
2020-05-14,0,0,0,1,0,0,0,0,1,0,1,0,0
2020-05-15,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-05-17,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-18,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-05-19,0,0,1,1,0,0,0,1,0,0,0,1,0
2020-05-20,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,1,0,0,0,0,0,0,2,0,0
2020-05-23,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-25,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-28,0,0,1,1,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,1,0,1,0
2020-05-31,1,0,0,1,0,0,1,0,0,0,2,0,0
2020-06-01,1,0,2,0,1,0,0,0,0,0,0,0,0
2020-06-02,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,1,0,0,0,0,0,0,1,0
2020-06-04,2,0,0,1,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-06-07,0,0,1,1,0,0,0,1,0,0,0,0,0
2020-06-08,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,2,0,1,0,0
2020-06-11,1,1,0,0,0,0,0,0,0,0,1,0,0
2020-06-12,0,1,1,0,0,0,0,0,0,0,1,0,0
2020-06-13,2,0,2,2,1,0,1,0,0,0,1,0,0
2020-06-14,0,1,4,0,0,0,0,0,0,0,1,0,0
2020-06-17,0,0,0,0,0,0,1,0,0,0,1,0,0
2020-06-18,4,0,1,1,0,0,0,0,0,0,1,0,0
2020-06-19,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-06-20,4,0,0,1,1,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-06-23,0,0,0,0,2,2,1,3,0,0,2,0,0
2020-06-24,2,0,0,2,0,0,0,0,0,0,0,0,0
2020-06-25,1,0,0,1,1,0,2,0,1,0,0,0,0
2020-06-26,0,0,0,2,1,1,0,0,0,0,1,0,0
2020-06-27,2,1,1,1,0,0,0,0,2,0,2,1,0
2020-06-28,1,1,0,0,0,1,0,0,0,0,0,0,0
2020-06-29,2,1,2,1,0,0,0,0,0,0,0,0,0
2020-06-30,0,2,1,5,0,1,1,1,0,0,0,0,0
2020-07-01,2,0,1,0,0,0,0,1,0,0,2,0,0
2020-07-02,1,0,0,1,0,0,1,1,1,1,0,0,0
2020-07-03,1,1,2,1,0,0,0,2,0,1,0,0,0
2020-07-04,0,1,3,3,2,0,0,1,0,0,2,0,0
2020-07-05,2,1,1,1,0,0,0,0,1,1,1,0,0
2020-07-06,1,1,1,3,0,1,0,1,0,1,4,0,0
2020-07-07,0,0,1,2,0,0,1,0,0,1,1,0,0
2020-07-08,3,0,2,1,1,1,1,2,0,0,2,0,0
2020-07-09,1,0,0,2,1,1,1,0,0,1,2,0,0
2020-07-10,2,1,3,0,1,0,0,1,0,0,0,0,0
2020-07-11,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,2,0,3,1,1,3,1,1,0,1,2,0,0
2020-07-13,4,2,3,0,2,0,1,1,1,0,3,0,0
2020-07-14,2,3,2,0,0,0,0,0,0,0,3,0,0
2020-07-15,1,1,1,2,1,2,0,0,1,0,0,0,0
2020-07-16,2,1,2,1,1,0,1,0,0,0,1,0,0
2020-07-17,5,3,1,1,0,0,1,1,1,0,0,0,0
2020-07-18,3,1,4,0,0,1,1,2,0,2,2,1,0
2020-07-19,6,1,1,0,1,3,1,1,1,1,3,1,0
2020-07-20,2,2,4,0,1,0,2,0,0,1,2,0,0
2020-07-21,1,0,0,1,4,2,2,1,1,0,0,2,0
2020-07-22,3,0,1,3,3,3,0,1,0,1,0,1,0
2020-07-23,0,0,1,1,2,1,2,0,0,0,0,0,0
2020-07-24,8,0,1,3,2,1,1,1,0,1,0,0,0
2020-07-25,5,2,0,3,1,2,0,1,1,2,1,0,0
2020-07-26,1,2,1,0,1,2,0,1,0,1,0,0,0
2020-07-27,0,0,2,1,1,0,0,4,1,4,2,0,0
2020-07-28,4,0,2,2,0,2,3,0,1,2,4,2,0
2020-07-29,3,2,1,0,0,1,1,2,1,3,0,1,0
2020-07-30,4,1,5,1,3,3,1,1,2,0,1,0,0
2020-07-31,3,1,1,3,1,0,1,3,0,1,1,0,0
2020-08-01,2,0,1,0,0,0,2,0,1,2,4,2,0
2020-08-02,3,1,2,1,2,0,0,0,0,0,2,0,0
2020-08-03,4,0,2,2,0,0,1,0,0,2,2,0,0
2020-08-04,0,1,2,0,0,0,0,2,1,2,1,0,0
2020-08-05,3,1,1,2,1,0,1,1,0,3,0,0,0
2020-08-06,2,2,0,1,0,0,0,1,0,2,2,1,0
2020-08-07,3,0,0,0,2,0,0,1,1,0,1,0,0
2020-08-08,4,0,0,0,1,1,3,3,1,1,0,0,0
2020-08-09,7,1,1,1,0,0,0,0,1,0,1,1,0
2020-08-10,8,4,4,1,2,2,1,0,0,0,0,0,0
2020-08-11,5,0,3,1,0,1,2,0,1,1,1,0,0
2020-08-12,1,1,1,0,0,0,1,2,1,0,1,2,0
2020-08-13,2,1,3,0,1,2,1,1,0,1,1,1,0
2020-08-14,1,0,0,2,1,1,1,0,1,0,0,0,0
2020-08-15,1,1,1,0,0,2,0,0,0,0,0,1,0
2020-08-16,1,0,0,0,1,0,0,0,1,0,1,1,0
2020-08-17,0,0,2,1,0,0,0,0,0,0,0,0,0
2020-08-18,0,1,0,0,2,1,0,1,0,1,0,2,0
2020-08-19,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-08-20,2,1,0,0,0,2,0,0,0,0,0,0,0
2020-08-21,1,1,0,1,0,0,0,1,1,0,1,1,0
2020-08-22,0,0,0,0,0,0,0,0,0,1,1,0,0
2020-08-23,0,1,0,0,1,0,1,0,0,0,0,0,0
2020-08-24,1,1,0,0,0,0,0,0,0,0,2,0,0
2020-08-25,0,0,0,0,2,0,1,0,0,1,2,0,0
2020-08-26,2,0,0,1,0,0,2,1,3,0,2,1,0
2020-08-27,1,0,2,1,0,2,0,0,5,1,3,0,0
2020-08-28,0,0,2,1,0,0,0,2,3,0,1,1,0
2020-08-29,1,0,0,1,0,0,1,1,1,1,0,1,0
2020-08-30,2,1,0,3,1,0,0,1,0,0,3,0,0
2020-08-31,5,0,0,0,0,0,1,0,0,1,4,1,0
2020-09-01,1,2,1,1,1,2,1,3,1,2,0,0,0
2020-09-02,1,0,1,1,1,1,0,1,0,0,4,0,0
2020-09-03,0,0,3,1,2,0,1,0,0,0,0,0,0
2020-09-04,0,2,1,0,1,0,0,0,0,0,2,1,0
2020-09-05,3,1,1,0,1,0,0,0,0,1,1,0,0
2020-09-06,0,2,0,0,0,0,1,1,0,0,0,0,0
2020-09-07,1,0,1,2,1,0,1,1,2,0,2,0,0
2020-09-08,0,0,1,2,0,0,0,0,1,0,0,1,0
2020-09-09,3,1,1,0,1,1,1,0,2,0,0,0,0
2020-09-10,1,0,2,2,0,1,0,0,1,0,1,0,0
2020-09-11,1,3,0,2,0,0,1,0,1,0,0,0,0
2020-09-12,2,1,1,1,0,0,1,0,0,0,0,0,0
2020-09-13,3,0,1,0,0,1,1,0,0,0,1,0,0
2020-09-14,1,3,0,1,0,1,1,0,0,0,0,0,0
2020-09-15,3,0,0,0,0,1,0,0,0,0,1,0,0
2020-09-16,2,1,0,1,1,0,1,0,0,1,0,0,0
2020-09-17,1,0,1,0,0,0,0,0,0,0,1,0,0
2020-09-18,0,1,0,1,0,0,0,0,0,0,2,0,0
2020-09-19,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-09-20,2,0,2,0,0,0,0,0,1,0,0,0,0
2020-09-21,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-22,1,0,0,2,1,0,0,0,0,0,2,0,0
2020-09-23,0,0,0,1,0,0,1,0,0,0,1,0,0
2020-09-24,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-09-25,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-28,1,0,0,0,0,0,0,1,0,0,3,0,0
2020-09-29,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-09-30,1,0,1,0,0,0,0,1,0,0,1,0,0
2020-10-01,0,0,1,0,0,0,0,1,0,0,0,1,0
2020-10-03,1,0,1,0,0,1,0,0,0,0,0,0,0
2020-10-04,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-05,4,0,2,1,1,0,0,1,0,0,0,0,0
2020-10-06,2,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-07,1,2,1,3,1,0,2,1,1,1,1,1,0
2020-10-08,0,1,0,1,0,0,1,0,1,0,1,1,0
2020-10-09,0,0,2,0,0,0,0,1,0,0,1,0,0
2020-10-10,0,4,0,0,0,0,0,0,0,0,3,0,0
2020-10-11,0,0,2,1,0,2,0,0,0,0,0,0,0
2020-10-12,3,1,1,3,0,0,0,1,2,1,3,0,0
2020-10-13,3,1,0,0,2,2,0,1,1,0,1,1,0
2020-10-14,3,0,1,1,0,1,0,1,1,0,2,0,0
2020-10-15,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-10-16,3,0,1,0,0,0,1,1,0,0,1,0,0
2020-10-17,1,1,1,0,0,1,1,0,0,1,0,0,0
2020-10-18,0,0,2,0,1,1,1,1,0,0,0,0,0
2020-10-19,2,1,3,0,1,0,0,1,0,1,1,0,0
2020-10-20,0,0,0,1,1,0,1,0,1,0,0,0,0
2020-10-21,1,0,1,0,2,0,2,0,1,1,1,0,0
2020-10-22,0,0,1,0,1,1,0,0,0,0,0,0,0
2020-10-23,0,0,1,2,2,0,0,1,0,0,0,0,0
2020-10-24,1,0,0,0,0,2,0,1,0,1,1,1,0
2020-10-25,0,1,0,0,0,1,0,0,0,1,0,0,0
2020-10-26,1,0,3,3,1,0,0,0,1,1,4,1,0
2020-10-27,0,0,0,3,0,0,0,0,0,0,2,0,0
2020-10-28,2,0,0,1,1,0,0,0,0,0,0,0,0
2020-10-29,3,0,0,1,0,1,0,1,0,0,0,1,0
2020-10-30,1,0,0,0,1,0,1,0,0,0,1,0,0
2020-10-31,0,1,0,2,0,0,1,0,0,0,1,0,0
2020-11-01,2,0,0,1,0,0,1,0,0,0,1,0,0
2020-11-02,1,2,0,0,0,0,0,0,0,0,1,0,0
2020-11-03,2,0,2,1,0,1,0,0,0,1,0,0,0
2020-11-04,0,0,1,1,0,1,0,0,0,0,0,0,0
2020-11-05,4,1,0,1,2,0,1,0,0,0,1,0,0
2020-11-06,1,0,0,1,0,0,1,0,0,1,1,0,0
2020-11-07,0,1,2,0,0,0,0,0,0,0,1,0,0
2020-11-08,0,1,0,0,2,1,1,0,0,0,2,0,0
2020-11-09,1,1,0,1,1,1,0,0,0,0,0,0,0
2020-11-10,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-11-11,2,1,0,1,0,0,0,0,0,0,1,0,0
2020-11-12,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-11-13,2,2,0,0,0,0,1,0,0,0,1,0,0
2020-11-14,1,0,0,2,1,1,1,0,0,1,1,0,0
2020-11-15,0,0,0,0,0,0,0,1,0,0,1,0,0
2020-11-16,1,1,0,1,0,1,0,0,0,0,0,0,0
2020-11-17,0,0,1,0,0,0,0,0,0,2,2,1,0
2020-11-18,0,1,1,0,0,1,2,1,0,0,1,0,0
2020-11-19,1,0,1,0,0,1,0,0,0,0,0,0,0
2020-11-20,1,1,0,1,2,2,0,1,1,1,0,0,0
2020-11-21,0,1,3,1,0,0,0,0,0,0,4,0,0
2020-11-22,2,0,1,0,1,0,0,0,0,1,0,0,0
2020-11-23,1,0,0,3,0,0,1,0,0,0,1,1,0
2020-11-24,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-11-26,0,0,1,3,0,0,0,0,0,0,1,0,0
2020-11-27,3,2,1,1,0,0,0,0,0,0,0,1,0
2020-11-28,1,0,1,0,1,0,0,0,0,0,1,0,0
2020-11-29,0,0,0,2,1,1,0,0,0,0,3,0,0
2020-11-30,1,2,0,2,0,1,1,0,0,0,1,0,0
2020-12-01,0,0,2,0,0,1,1,1,0,1,0,0,0
2020-12-02,2,2,2,0,0,0,0,0,0,0,1,1,0
2020-12-03,0,0,2,1,0,0,0,0,0,0,1,0,0
2020-12-04,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-12-05,0,1,1,1,0,0,0,0,0,0,2,0,0
2020-12-06,1,1,1,2,0,0,0,0,0,0,2,0,0
2020-12-07,0,0,1,0,0,1,0,0,0,1,0,1,0
2020-12-08,0,0,0,1,0,0,0,0,0,1,0,0,0
2020-12-09,0,2,0,1,2,2,1,0,0,0,1,0,0
2020-12-10,1,0,1,1,3,0,0,0,0,0,0,0,0
2020-12-11,0,0,0,1,0,1,0,0,0,1,0,0,0
2020-12-12,0,0,0,1,0,0,0,1,0,0,1,0,0
2020-12-13,0,0,2,1,1,0,0,0,0,0,0,1,0
2020-12-14,3,0,2,0,0,0,0,0,0,0,1,1,0
2020-12-15,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-12-16,1,0,0,1,1,4,0,0,1,0,0,1,0
2020-12-17,1,0,0,0,0,1,4,4,4,4,3,4,0
2020-12-18,6,2,3,1,1,2,2,5,2,2,1,1,0
2020-12-19,4,2,1,4,1,1,3,2,4,5,4,1,0
2020-12-20,6,3,3,4,3,0,0,3,1,3,1,1,0
2020-12-21,1,1,2,0,0,4,0,0,2,1,0,1,0
2020-12-22,3,1,2,1,2,1,0,1,0,0,2,0,0
2020-12-23,4,3,2,2,2,1,1,0,1,1,2,2,0
2020-12-24,4,0,2,1,0,0,2,0,1,1,1,0,0
2020-12-25,1,0,0,3,1,2,0,0,0,3,1,0,0
2020-12-26,1,1,2,4,0,0,1,1,1,0,2,0,0
2020-12-27,3,2,2,1,0,0,0,2,0,0,0,0,0
2020-12-28,0,1,3,1,2,0,0,1,1,0,0,0,0
2020-12-29,10,3,1,3,2,1,3,2,0,2,3,0,0
2020-12-30,2,1,2,0,0,0,0,1,0,0,3,0,0
2020-12-31,3,2,2,1,0,1,0,0,0,1,1,0,0
2021-01-01,6,1,1,2,1,3,1,0,1,0,1,0,0
2021-01-02,3,1,1,0,0,2,0,0,0,0,0,0,0
2021-01-03,2,0,0,1,2,3,1,0,1,0,1,0,0
2021-01-04,2,0,0,0,0,0,0,0,0,1,1,0,0
2021-01-05,1,0,1,0,0,0,0,0,0,0,2,0,0
2021-01-06,7,1,0,1,0,0,0,1,0,0,2,0,0
2021-01-07,1,1,1,0,0,1,0,0,0,0,1,0,0
2021-01-08,3,0,1,2,2,0,0,0,0,0,3,0,0
2021-01-09,3,0,1,1,1,0,0,0,0,1,0,0,0
2021-01-10,1,0,1,2,3,3,0,1,0,0,1,0,0
2021-01-11,1,1,1,0,2,1,1,0,0,1,3,0,0
2021-01-12,0,1,1,1,0,1,0,0,0,0,1,0,0
2021-01-13,1,0,1,0,0,0,0,0,0,0,0,0,0
2021-01-14,1,0,0,0,0,1,0,0,0,0,0,0,0
2021-01-15,1,0,2,1,2,1,1,3,1,1,1,0,0
2021-01-16,4,0,0,1,0,2,1,1,0,4,1,0,0
2021-01-17,0,0,0,1,0,0,0,0,0,0,1,0,0
2021-01-18,0,0,0,0,0,0,1,0,0,0,0,0,0
2021-01-19,1,0,2,1,0,0,0,0,0,0,0,0,0
2021-01-20,2,0,0,1,0,0,1,1,0,0,0,0,0
2021-01-22,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-01-23,0,0,0,2,1,1,0,0,0,0,0,1,0
2021-01-24,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,1,0,0,1,0,1,0,0,0,0,0,0,0
2021-01-26,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,0,0,0,1,2,0,0,0,0,1,0,0,0
2021-01-28,0,1,2,0,0,0,0,0,0,0,1,0,0
2021-01-29,1,0,0,0,2,0,0,0,0,0,0,0,0
2021-01-30,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,2,1,0,0,0,0,0,1,0,0,0,0,0
2021-02-01,0,0,1,0,0,1,0,0,0,0,0,0,0
2021-02-02,1,0,0,1,0,0,0,0,0,0,0,0,0
2021-02-03,0,0,1,1,1,0,0,0,0,0,0,0,0
2021-02-05,0,0,0,0,2,0,0,0,0,0,2,0,0
2021-02-07,2,0,0,1,0,0,0,1,0,0,1,0,0
2021-02-08,0,0,0,3,0,0,1,0,0,0,0,0,0
2021-02-09,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,1,0,1,0,0
2021-02-11,0,0,1,0,1,0,0,0,0,0,0,0,0
2021-02-12,0,0,1,0,0,0,0,0,0,0,1,0,0
2021-02-13,0,0,2,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,1,0,1,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,2,1,0,0,0,0,0
2021-02-17,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,1,0,0,0,0,1,0,0
2021-02-19,0,0,0,0,0,0,1,0,0,0,0,0,0
2021-02-20,1,0,0,0,0,0,0,0,1,0,1,0,0
2021-02-21,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-02-22,1,0,1,0,1,0,0,0,0,0,1,0,0
2021-02-23,1,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-24,0,0,0,2,1,0,0,0,0,0,2,0,0
2021-02-25,0,0,2,0,0,2,0,0,0,0,0,0,0
2021-02-26,1,0,0,1,1,0,0,0,1,0,0,0,0
2021-02-27,0,1,1,0,1,0,0,0,0,0,1,0,0
2021-02-28,2,0,1,0,0,0,0,0,1,0,2,0,0
2021-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-03-02,0,0,0,0,1,0,0,0,1,0,3,0,0
2021-03-03,0,0,1,2,1,0,1,1,0,0,0,0,0
2021-03-04,4,0,0,2,0,0,1,2,0,0,0,0,0
2021-03-05,1,0,2,0,0,0,0,1,0,0,0,0,0
2021-03-06,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-03-07,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-03-08,0,1,1,0,0,0,1,0,1,0,1,0,0
2021-03-09,1,0,0,0,1,0,0,2,0,0,2,0,0
2021-03-10,1,0,0,0,2,0,1,0,0,1,2,0,0
2021-03-11,2,0,2,0,1,0,0,0,0,0,1,0,0
2021-03-13,1,0,1,0,0,1,0,0,0,0,2,0,0
2021-03-14,0,0,1,0,0,0,0,0,0,0,2,0,0
2021-03-15,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-03-16,1,0,0,0,0,1,0,0,0,1,3,0,0
2021-03-17,0,1,3,1,1,0,0,0,1,0,1,0,0
2021-03-18,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-03-19,1,0,1,0,0,0,0,0,0,0,0,0,0
2021-03-20,2,0,0,1,0,1,0,0,0,0,1,0,0
2021-03-21,2,0,1,0,0,0,1,0,0,0,0,0,0
2021-03-22,0,0,1,0,0,0,0,0,1,0,0,0,0
2021-03-23,1,0,1,1,0,0,0,0,0,1,0,0,0
2021-03-24,0,2,0,0,0,0,0,0,0,0,1,0,0
2021-03-25,0,1,0,1,0,0,0,0,0,0,0,0,0
2021-03-26,0,0,1,0,0,0,0,0,0,1,1,0,0
2021-03-28,0,0,2,0,0,1,0,0,0,0,1,0,0
2021-03-29,0,0,2,0,0,0,1,0,0,0,1,0,0
2021-03-30,0,1,0,1,0,0,0,0,0,1,1,1,0
2021-03-31,0,0,0,0,0,0,1,0,0,0,1,0,0
2021-04-02,1,0,0,0,1,0,0,0,0,1,0,0,0
2021-04-03,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-04-04,0,1,0,2,0,0,0,0,0,0,1,0,0
2021-04-05,2,0,4,1,0,1,0,0,1,0,0,0,0
2021-04-06,0,0,1,4,0,0,0,0,0,0,0,0,0
2021-04-07,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-04-08,0,0,0,0,0,0,0,0,0,2,1,0,0
2021-04-09,1,0,0,0,1,0,0,0,0,1,2,0,0
2021-04-10,0,1,2,0,1,1,0,1,0,0,0,1,0
2021-04-11,1,0,3,2,0,0,0,0,0,0,0,0,0
2021-04-12,0,0,0,1,0,0,0,0,0,1,1,1,0
2021-04-13,0,1,1,1,0,1,0,0,0,0,0,0,0
2021-04-14,1,1,4,1,1,3,0,0,0,1,0,0,0
2021-04-15,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-16,1,1,1,3,1,0,1,0,0,0,1,0,0
2021-04-17,1,1,1,0,0,1,0,0,0,0,0,0,0
2021-04-18,0,0,2,2,1,0,0,0,0,0,2,1,0
2021-04-19,1,0,1,0,0,1,0,0,1,0,0,0,0
2021-04-20,0,0,2,1,1,0,0,0,0,0,3,0,0
2021-04-21,2,0,2,1,3,1,0,1,0,0,5,0,0
2021-04-22,2,2,0,0,0,1,0,0,0,0,0,0,0
2021-04-23,0,0,0,0,0,0,0,1,0,0,0,0,0
2021-04-24,0,0,0,1,0,0,0,1,0,0,1,1,0
2021-04-25,1,1,0,2,2,0,0,0,0,0,1,0,0
2021-04-26,3,1,2,2,1,0,0,0,0,0,7,0,0
2021-04-27,2,1,4,2,0,1,0,1,0,0,1,0,0
2021-04-28,4,0,1,3,1,0,0,1,0,0,7,0,0
2021-04-29,0,0,0,1,0,0,0,0,0,0,1,0,0
2021-04-30,3,0,1,0,0,0,0,0,0,0,0,0,0
2021-05-01,1,0,0,0,1,0,0,0,0,0,0,0,0
2021-05-02,2,1,0,2,1,0,0,0,0,1,1,0,0
2021-05-03,2,3,0,2,0,0,0,0,0,0,2,0,0
2021-05-04,2,1,0,2,0,2,0,0,0,0,0,0,0
2021-05-05,1,1,1,1,1,0,0,2,0,0,2,0,0
2021-05-06,1,0,0,1,1,0,0,1,0,0,0,0,0
2021-05-07,0,0,0,1,0,0,1,1,0,0,2,0,0
2021-05-08,1,1,1,2,0,1,0,0,0,0,1,0,0
2021-05-09,3,0,0,0,0,1,0,0,0,1,1,0,0
2021-05-10,0,1,2,1,0,0,0,0,0,0,0,0,0
2021-05-11,1,0,0,0,1,0,0,0,0,0,0,0,0
2021-05-12,3,0,0,0,2,0,0,0,0,0,0,0,0
2021-05-13,1,1,0,0,0,0,0,0,0,0,1,0,0
2021-05-14,0,1,0,0,0,0,0,1,0,0,0,0,0
2021-05-15,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-16,0,0,1,1,0,0,0,0,0,0,0,0,0
